P195	427298	403470	4607	16811	14
P195-1	427298	4607	403470	14	16811
P1950	9854	9810	3205	229	2
P1950-1	9854	3205	9810	2	229
P1951	173	63	126	18	8
P1951-1	173	126	63	8	18
P1956	5	5	3	3	1
P1956-1	5	3	5	1	3
P196	96960	91042	55	74392	3
P196-1	96960	55	91042	3	74392
P1960	100	100	100	1	1
P1960-1	100	100	100	1	1
P1962	676	533	532	16	38
P1962-1	676	532	533	38	16
P197	99606	49059	49193	15	17
P197-1	99606	49193	49059	17	15
P1981	16091	16079	5	6506	2
P1981-1	16091	5	16079	2	6506
P199	635	269	535	32	28
P199-1	635	535	269	28	32
P1990	3277	218	1351	56	188
P1990-1	3277	1351	218	188	56
P1995	6936	6361	150	1079	29
P1995-1	6936	150	6361	29	1079
P1998	12	12	4	8	1
P1998-1	12	4	12	1	8
P1999	1725	1725	9	414	1
P1999-1	1725	9	1725	1	414
P20	755194	753722	75574	27137	5
P20-1	755194	75574	753722	5	27137
P200	4615	4067	3230	29	36
P200-1	4615	3230	4067	36	29
P2002	139	134	137	2	4
P2002-1	139	137	134	4	2
P201	5225	5151	3666	36	10
P201-1	5225	3666	5151	10	36
P2012	713	656	137	143	13
P2012-1	713	137	656	13	143
P2013	73	73	73	1	1
P2013-1	73	73	73	1	1
P2033	848	848	848	1	1
P2033-1	848	848	848	1	1
P2037	3	3	3	1	1
P2037-1	3	3	3	1	1
P2038	8	8	8	1	1
P2038-1	8	8	8	1	1
P205	16606	16353	191	4834	24
P205-1	16606	191	16353	24	4834
P2058	109	99	22	65	4
P2058-1	109	22	99	4	65
P206	28448	26154	5567	1653	99
P206-1	28448	5567	26154	99	1653
P2061	29375	29362	42	20993	2
P2061-1	29375	42	29362	2	20993
P2078	3	3	3	1	1
P2078-1	3	3	3	1	1
P2079	22092	16951	438	3594	6
P2079-1	22092	438	16951	6	3594
P208	797	791	657	123	2
P208-1	797	657	791	2	123
P2088	1	1	1	1	1
P2088-1	1	1	1	1	1
P209	138	124	136	2	5
P209-1	138	136	124	5	2
P2093	327659	298382	44932	2505	16
P2093-1	327659	44932	298382	16	2505
P2094	49899	47747	359	9729	9
P2094-1	49899	359	47747	9	9729
P2095	31	28	31	1	4
P2095-1	31	31	28	4	1
P2098	93	93	93	1	1
P2098-1	93	93	93	1	1
P21	3872079	3871870	23	3151808	3
P21-1	3872079	23	3871870	3	3151808
P210	69	57	67	2	3
P210-1	69	67	57	3	2
P2127	10	10	5	5	1
P2127-1	10	5	10	1	5
P2152	65	65	65	1	1
P2152-1	65	65	65	1	1
P2155	205	163	165	3	3
P2155-1	205	165	163	3	3
P2156	30	30	5	18	1
P2156-1	30	5	30	1	18
P2157	52	52	18	18	1
P2157-1	52	18	52	1	18
P2159	35	32	24	6	2
P2159-1	35	24	32	2	6
P217	16	15	15	2	2
P217-1	16	15	15	2	2
P2175	3737	1187	769	97	30
P2175-1	3737	769	1187	30	97
P2176	3780	767	1193	30	97
P2176-1	3780	1193	767	97	30
P2184	1081	1057	1064	3	9
P2184-1	1081	1064	1057	9	3
P22	129932	129425	81225	134	6
P22-1	129932	81225	129425	6	134
P2210	18	16	17	2	2
P2210-1	18	17	16	2	2
P2238	141	68	134	3	13
P2238-1	141	134	68	13	3
P2239	2820	696	61	627	16
P2239-1	2820	61	696	16	627
P2241	1	1	1	1	1
P2241-1	1	1	1	1	1
P225	3937	3936	3931	2	2
P225-1	3937	3931	3936	2	2
P2266	2	2	2	1	1
P2266-1	2	2	2	1	1
P2272	1	1	1	1	1
P2272-1	1	1	1	1	1
P2275	3	3	3	1	1
P2275-1	3	3	3	1	1
P2279	37	37	11	12	1
P2279-1	37	11	37	1	12
P2283	3610	2704	2095	225	29
P2283-1	3610	2095	2704	29	225
P2286	229	204	152	5	4
P2286-1	229	152	204	4	5
P2288	46	44	22	12	3
P2288-1	46	22	44	3	12
P2289	95	91	66	5	3
P2289-1	95	66	91	3	5
P229	87	87	34	6	1
P229-1	87	34	87	1	6
P2291	158	77	74	13	11
P2291-1	158	74	77	11	13
P2293	4495	1830	1840	363	363
P2293-1	4495	1840	1830	363	363
P230	22	22	20	2	1
P230-1	22	20	22	1	2
P2302	4	1	4	1	4
P2302-1	4	4	1	4	1
P2303	39	1	39	1	39
P2303-1	39	39	1	39	1
P2308	6	6	4	3	1
P2308-1	6	4	6	1	3
P2317	13	13	12	2	1
P2317-1	13	12	13	1	2
P2318	43	34	43	1	4
P2318-1	43	43	34	4	1
P2319	50	15	48	2	28
P2319-1	50	48	15	28	2
P2321	24982	2852	4259	139	53
P2321-1	24982	4259	2852	53	139
P2328	2	2	2	1	1
P2328-1	2	2	2	1	1
P2329	93	83	66	4	4
P2329-1	93	66	83	4	4
P2341	751	680	622	8	10
P2341-1	751	622	680	10	8
P2348	112635	112337	711	4544	6
P2348-1	112635	711	112337	6	4544
P235	6170	6166	6168	3	2
P235-1	6170	6168	6166	2	3
P2352	1	1	1	1	1
P2352-1	1	1	1	1	1
P2353	4	4	2	3	1
P2353-1	4	2	4	1	3
P2354	4602	4319	4455	23	47
P2354-1	4602	4455	4319	47	23
P2358	4164	4156	37	815	2
